phi,volume,time,halos,theta,volumeIdx
0,on,0,on,45,0
0,on,0,on,45,1
0,on,0,on,45,2
0,on,0,on,45,3
0,on,0,on,45,4
0,on,0,on,45,5
0,on,0,on,45,6
0,on,0,on,45,7
0,on,0,on,45,8
0,on,0,on,45,9
0,on,0,on,90,0
0,on,0,on,90,1
0,on,0,on,90,2
0,on,0,on,90,3
0,on,0,on,90,4
0,on,0,on,90,5
0,on,0,on,90,6
0,on,0,on,90,7
0,on,0,on,90,8
0,on,0,on,90,9
0,on,0,on,135,0
0,on,0,on,135,1
0,on,0,on,135,2
0,on,0,on,135,3
0,on,0,on,135,4
0,on,0,on,135,5
0,on,0,on,135,6
0,on,0,on,135,7
0,on,0,on,135,8
0,on,0,on,135,9
0,on,0,off,45,0
0,on,0,off,45,1
0,on,0,off,45,2
0,on,0,off,45,3
0,on,0,off,45,4
0,on,0,off,45,5
0,on,0,off,45,6
0,on,0,off,45,7
0,on,0,off,45,8
0,on,0,off,45,9
0,on,0,off,90,0
0,on,0,off,90,1
0,on,0,off,90,2
0,on,0,off,90,3
0,on,0,off,90,4
0,on,0,off,90,5
0,on,0,off,90,6
0,on,0,off,90,7
0,on,0,off,90,8
0,on,0,off,90,9
0,on,0,off,135,0
0,on,0,off,135,1
0,on,0,off,135,2
0,on,0,off,135,3
0,on,0,off,135,4
0,on,0,off,135,5
0,on,0,off,135,6
0,on,0,off,135,7
0,on,0,off,135,8
0,on,0,off,135,9
0,on,1,on,45,0
0,on,1,on,45,1
0,on,1,on,45,2
0,on,1,on,45,3
0,on,1,on,45,4
0,on,1,on,45,5
0,on,1,on,45,6
0,on,1,on,45,7
0,on,1,on,45,8
0,on,1,on,45,9
0,on,1,on,90,0
0,on,1,on,90,1
0,on,1,on,90,2
0,on,1,on,90,3
0,on,1,on,90,4
0,on,1,on,90,5
0,on,1,on,90,6
0,on,1,on,90,7
0,on,1,on,90,8
0,on,1,on,90,9
0,on,1,on,135,0
0,on,1,on,135,1
0,on,1,on,135,2
0,on,1,on,135,3
0,on,1,on,135,4
0,on,1,on,135,5
0,on,1,on,135,6
0,on,1,on,135,7
0,on,1,on,135,8
0,on,1,on,135,9
0,on,1,off,45,0
0,on,1,off,45,1
0,on,1,off,45,2
0,on,1,off,45,3
0,on,1,off,45,4
0,on,1,off,45,5
0,on,1,off,45,6
0,on,1,off,45,7
0,on,1,off,45,8
0,on,1,off,45,9
0,on,1,off,90,0
0,on,1,off,90,1
0,on,1,off,90,2
0,on,1,off,90,3
0,on,1,off,90,4
0,on,1,off,90,5
0,on,1,off,90,6
0,on,1,off,90,7
0,on,1,off,90,8
0,on,1,off,90,9
0,on,1,off,135,0
0,on,1,off,135,1
0,on,1,off,135,2
0,on,1,off,135,3
0,on,1,off,135,4
0,on,1,off,135,5
0,on,1,off,135,6
0,on,1,off,135,7
0,on,1,off,135,8
0,on,1,off,135,9
0,on,2,on,45,0
0,on,2,on,45,1
0,on,2,on,45,2
0,on,2,on,45,3
0,on,2,on,45,4
0,on,2,on,45,5
0,on,2,on,45,6
0,on,2,on,45,7
0,on,2,on,45,8
0,on,2,on,45,9
0,on,2,on,90,0
0,on,2,on,90,1
0,on,2,on,90,2
0,on,2,on,90,3
0,on,2,on,90,4
0,on,2,on,90,5
0,on,2,on,90,6
0,on,2,on,90,7
0,on,2,on,90,8
0,on,2,on,90,9
0,on,2,on,135,0
0,on,2,on,135,1
0,on,2,on,135,2
0,on,2,on,135,3
0,on,2,on,135,4
0,on,2,on,135,5
0,on,2,on,135,6
0,on,2,on,135,7
0,on,2,on,135,8
0,on,2,on,135,9
0,on,2,off,45,0
0,on,2,off,45,1
0,on,2,off,45,2
0,on,2,off,45,3
0,on,2,off,45,4
0,on,2,off,45,5
0,on,2,off,45,6
0,on,2,off,45,7
0,on,2,off,45,8
0,on,2,off,45,9
0,on,2,off,90,0
0,on,2,off,90,1
0,on,2,off,90,2
0,on,2,off,90,3
0,on,2,off,90,4
0,on,2,off,90,5
0,on,2,off,90,6
0,on,2,off,90,7
0,on,2,off,90,8
0,on,2,off,90,9
0,on,2,off,135,0
0,on,2,off,135,1
0,on,2,off,135,2
0,on,2,off,135,3
0,on,2,off,135,4
0,on,2,off,135,5
0,on,2,off,135,6
0,on,2,off,135,7
0,on,2,off,135,8
0,on,2,off,135,9
0,on,3,on,45,0
0,on,3,on,45,1
0,on,3,on,45,2
0,on,3,on,45,3
0,on,3,on,45,4
0,on,3,on,45,5
0,on,3,on,45,6
0,on,3,on,45,7
0,on,3,on,45,8
0,on,3,on,45,9
0,on,3,on,90,0
0,on,3,on,90,1
0,on,3,on,90,2
0,on,3,on,90,3
0,on,3,on,90,4
0,on,3,on,90,5
0,on,3,on,90,6
0,on,3,on,90,7
0,on,3,on,90,8
0,on,3,on,90,9
0,on,3,on,135,0
0,on,3,on,135,1
0,on,3,on,135,2
0,on,3,on,135,3
0,on,3,on,135,4
0,on,3,on,135,5
0,on,3,on,135,6
0,on,3,on,135,7
0,on,3,on,135,8
0,on,3,on,135,9
0,on,3,off,45,0
0,on,3,off,45,1
0,on,3,off,45,2
0,on,3,off,45,3
0,on,3,off,45,4
0,on,3,off,45,5
0,on,3,off,45,6
0,on,3,off,45,7
0,on,3,off,45,8
0,on,3,off,45,9
0,on,3,off,90,0
0,on,3,off,90,1
0,on,3,off,90,2
0,on,3,off,90,3
0,on,3,off,90,4
0,on,3,off,90,5
